artist,group,song,type,performance,year,recording,link,date_uploaded,date_accessed,transcription
joanneshawtaylor,10_nonAA_nonUS,ive_been_loving_you_too_long,original,studio,2019,reckless_heart,https://www.youtube.com/watch?v=aU6b4Djwakw,2019-03-14,2023-12-15,done
joanneshawtaylor,10_nonAA_nonUS,just_another_word,original,studio,2009,white_sugar,https://www.youtube.com/watch?v=h0M4yGEkw_w,2015-02-21,2023-12-15,done
tinylegstim,10_nonAA_nonUS,death_letter,cover,live,2016,live_at_sint_jacobs,https://www.youtube.com/watch?v=etJBTFApmqQ,2016-12-21,2023-12-11,
tinylegstim,10_nonAA_nonUS,going_down_south,cover,live,2021,live_at_the_duvel_blues,https://www.youtube.com/watch?v=kj-RQqcwSPU,2021-07-18,2023-12-11,
tinylegstim,10_nonAA_nonUS,ramblin_on_my_mind,cover,live,2014,live_at_cc_de_steiger,https://www.youtube.com/watch?v=UYWiwAu6zci,2014-01-24,2023-12-11,
tinylegstim,10_nonAA_nonUS,cant_win_them_all,original,live,2016,live_at_sint_jacobs,https://www.youtube.com/watch?v=m_A6iYVAcmU,2017-11-24,2023-12-11,
tinylegstim,10_nonAA_nonUS,get_it_back,original,live,2016,live_at_sint_jacobs,https://www.youtube.com/watch?v=HrZK-p151Jo,2017-11-24,2023-12-11,
tinylegstim,10_nonAA_nonUS,stepping_up,original,live,2016,live_at_sint_jacobs,https://www.youtube.com/watch?v=i5mBN4rB0TM,2017-10-26,2023-12-11,
tinylegstim,10_nonAA_nonUS,death_letter,cover,studio,2017,melodium_rag,https://www.youtube.com/watch?v=OGqv9kT5ipi,2018-11-10,2023-12-11,done
tinylegstim,10_nonAA_nonUS,going_down_south,cover,studio,2020,call_us_when_its_over,https://www.youtube.com/watch?v=QM_65UV_-Si,2020-09-25,2023-12-11,done
tinylegstim,10_nonAA_nonUS,ramblin_on_my_mind,cover,studio,2015,one_man_blues,https://www.youtube.com/watch?v=o4uU34ar5Zg,2023-06-30,2023-12-11,done
tinylegstim,10_nonAA_nonUS,cant_win_them_all,original,studio,2013,tlt,https://www.youtube.com/watch?v=8aAmYmZT4Js,2019-03-15,2023-12-11,done
tinylegstim,10_nonAA_nonUS,get_it_back,original,studio,2015,stepping_up,https://www.youtube.com/watch?v=hk2qG6qLhy4,2018-11-10,2023-12-11,done
tinylegstim,10_nonAA_nonUS,stepping_up,original,studio,2015,stepping_up,https://www.youtube.com/watch?v=ive3Ekgqgxo,2018-11-10,2023-12-11,done
allyvenable,10_nonAA_US,backwater_blues,cover,live,2021,live_at_the_hot_august_music_festival,https://www.youtube.com/watch?v=jVFTpRiMQAk,2021-08-29,2023-12-14,
allyvenable,10_nonAA_US,messin_with_the_kid,cover,live,2018,live_at_stanhope_house,https://www.youtube.com/watch?v=2nzjdvUHA1i,2018-10-08,2023-12-14,
