,word,previous_word,next_word,artist,song_type,song,aae_feature,time,social_group
9578,just,m , drinking,albertcollins,cover,i_aint_drunk,post-consonantal t,1980s,AA
26641,stepping,m , up,tinylegstim,original,stepping_up,ing ultimas,2010s,nonAA_nonUS
6695,and,, I,allmanbrothers,original,whipping_post,post-consonantal d,1960s,nonAA_US
5580,find,t ,,tenyearsafter,cover,help_me,ai monophthongization,1960s,nonAA_nonUS
22345,I,and , worked,kirkfletcher,original,the_answer,ai monophthongization,2010s,AA
8297,friend ,,,paulbutterfield,cover,born_under_a_bad_sign,post-consonantal d,1960s,nonAA_US
24577,while,lady , I,davyknowles,cover,outside_woman_blues,ai monophthongization,2010s,nonAA_nonUS
22785,later ,,,shemekiacopeland,cover,has_anybody_seen_my_man,post-vocalic r,2010s,AA
12561,I,,'ll,robertcray,cover,dont_be_afraid_of_the_dark,ai monophthongization,1980s,AA
974,my,in , veins,bbking,original,worry_worry,ai monophthongization,1960s,AA
11390,night,all , long,kokotaylor,cover,wang_dang_doodle,ai monophthongization,1980s,AA
24596,your,watch , wife,davyknowles,cover,outside_woman_blues,post-vocalic r,2010s,nonAA_nonUS
3080,I,, wanna,muddywaters,original,tiger_in_your_tank,ai monophthongization,1960s,AA
21349,I,, knew,kingfish,cover,empty_promises,ai monophthongization,2010s,AA
20721,swear,I , I,garyclarkjr,cover,if_trouble_was_money,post-vocalic r,2010s,AA
20436,and,me , my,ericgales,cover,me_and_my_guitar,post-consonantal d,2010s,AA
29305,your,free , spirit,philipsayce,original,morning_star,post-vocalic r,2010s,nonAA_US
20123,she,, my,stevierayvaughan,original,pride_and_joy,zero copula,1980s,nonAA_US
13173,I,, called,ericclapton,cover,before_you_accuse_me,ai monophthongization,1980s,nonAA_nonUS
19839,alley's,, the,stevierayvaughan,cover,tin_pan_alley,zero copula,1980s,nonAA_US
8944,my,, baby,stevemiller,cover,fanny_mae,ai monophthongization,1960s,nonAA_US
29266,I,what , feel,philipsayce,original,morning_star,ai monophthongization,2010s,nonAA_US
29968,I,, can,samanthafish,original,lets_have_some_fun,ai monophthongization,2010s,nonAA_US
1822,I,well ,'m,freddieking,original,im_tore_down,ai monophthongization,1960s,AA
26630,for,sign , that,tinylegstim,original,stepping_up,post-vocalic r,2010s,nonAA_nonUS
22820,haven't,, seen,shemekiacopeland,cover,has_anybody_seen_my_man,post-consonantal t,2010s,AA
2144,around,messing , with,jimihendrix,cover,killing_floor,post-consonantal d,1960s,AA
8855,your,pet , dog,paulbutterfield,original,no_amount_of_loving,post-vocalic r,1960s,nonAA_US
8694,call ,,,paulbutterfield,original,all_in_a_day,third person singular,1960s,nonAA_US
27441,Lord,up , I,joebonamassa,cover,twenty_four_hour_blues,post-consonantal d,2010s,nonAA_US
10192,charged,s , charged,albertcollins,original,master_charge,post-consonantal d,1980s,AA
18042,ain't,, that,fabulousthunderbirds,original,tuff_enough,post-consonantal t,1980s,nonAA_US
25281,I,, work,joanneshawtaylor,cover,cant_you_see_what_youre_doing_to_me,ai monophthongization,2010s,nonAA_nonUS
27350,I,, wanna,joebonamassa,cover,i_want_to_shout_about_it,ai monophthongization,2010s,nonAA_US
17180,wonder,I , how,bonnieraitt,cover,three_time_loser,post-vocalic r,1980s,nonAA_US
8857,your,to , room,paulbutterfield,original,no_amount_of_loving,post-vocalic r,1960s,nonAA_US
22567,my,in , window,shemekiacopeland,cover,cant_let_go,ai monophthongization,2010s,AA
6395,ain't,you , gonna,allmanbrothers,cover,trouble_no_more,auxiliary verb,1960s,nonAA_US
20482,why,know , that,ericgales,original,it_just_beez_that_way,ai monophthongization,2010s,AA
29644,blowed ,,,samanthafish,cover,jim_lee_blues_part_i,post-consonantal d,2010s,nonAA_US
10695,and,, folks,johnleehooker,cover,it_serves_me_right,post-consonantal d,1980s,AA
628,darling ,,,bbking,cover,everyday_i_have_the_blues,ing ultimas,1960s,AA
21254,and,, I,garyclarkjr,original,when_my_train_pulls_in,post-consonantal d,2010s,AA
17812,just,, put,fabulousthunderbirds,cover,wrap_it_up,post-consonantal t,1980s,nonAA_US
28188,here,stopped , because,mattschofield,cover,stranger_blues,post-vocalic r,2010s,nonAA_US
26935,looking,keep , down,allyvenable,cover,woke_up_this_morning,ing ultimas,2010s,nonAA_US
29178,she's,yes , fine,philipsayce,original,bitter_monday,zero copula,2010s,nonAA_US
23378,don't,I , wanna,daniwilde,cover,dont_quit_me_baby,post-consonantal t,2010s,nonAA_nonUS
14147,blonde,long , hair,jeffhealey,original,dont_let_your_chance_go_by,post-consonantal d,1980s,nonAA_nonUS
18988,I,, been,robbenford,cover,born_under_a_bad_sign,ai monophthongization,1980s,nonAA_US
15642,morning ,,,rorygallagher,cover,tore_down,ing ultimas,1980s,nonAA_nonUS
1872,fishing,, after,jimihendrix,cover,catfish_blues,ing ultimas,1960s,AA
28796,pond ,,,philipsayce,cover,backwater_blues,post-consonantal d,2010s,nonAA_US
16504,everything,you , I,thebluesband,original,come_on_in,ing ultimas,1980s,nonAA_nonUS
21381,talking,, to,kingfish,cover,hard_times,ing ultimas,2010s,AA
12214,fight ,,,lutherallison,original,fight,ai monophthongization,1980s,AA
3474,summer,one , day,cream,cover,sitting_on_top_of_the_world,post-vocalic r,1960s,nonAA_nonUS
3032,working ,,,muddywaters,original,ive_got_my_mojo_working,ing ultimas,1960s,AA
22046,there,seen , but,kirkfletcher,cover,congo_square,post-vocalic r,2010s,AA
29736,you're,if , water,samanthafish,cover,jim_lee_blues_part_i,zero copula,2010s,nonAA_US
30204,you're,think , in,samanthafish,original,sucker_born,zero copula,2010s,nonAA_US
